TeamID,TeamName,Conference,WinPCT,Season,RAPTOR_Season,Season_Adjusted,id_x,full_name_x,id_y,full_name_y,id,full_name,abbreviation
1610612737,Hawks,East,0.293,2017-18,2017,2018,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.354,2018-19,2018,2019,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.299,2019-20,2019,2020,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.569,2020-21,2020,2021,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.524,2021-22,2021,2022,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.5,2022-23,2022,2023,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612737,Hawks,East,0.439,2023-24,2023,2024,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,1610612737,Atlanta Hawks,ATL
1610612738,Celtics,East,0.537,1976-77,1976,1977,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.39,1977-78,1977,1978,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.354,1978-79,1978,1979,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.744,1979-80,1979,1980,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.756,1980-81,1980,1981,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.768,1981-82,1981,1982,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.683,1982-83,1982,1983,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.756,1983-84,1983,1984,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.768,1984-85,1984,1985,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.817,1985-86,1985,1986,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.72,1986-87,1986,1987,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.695,1987-88,1987,1988,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.512,1988-89,1988,1989,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.634,1989-90,1989,1990,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.683,1990-91,1990,1991,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.622,1991-92,1991,1992,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.585,1992-93,1992,1993,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
1610612738,Celtics,East,0.39,1993-94,1993,1994,1610612738,Boston Celtics,1610612738,Boston Celtics,1610612738,Boston Celtics,BOS
